Experiment,datafile,Layer,SumSliceX,SumSliceXsame,SumSliceXgain,SumSliceXlost
SM_1_03022019_FR,SM_1_03022019_FR_02_t1_ORG,200,0,0,0,0
SM_1_03022019_FR,SM_1_03022019_FR_02_t1_ORG,400,0,0,0,0
SM_1_03022019_FR,SM_1_03022019_FR_02_t1_ORG,600,650,0,650,0
SM_1_03022019_FR,SM_1_03022019_FR_02_t1_ORG,800,1383,0,1383,0
SM_1_03022019_FR,SM_1_03022019_FR_02_t1_ORG,1000,0,0,0,0
SM_1_03022019_FR,SM_1_03022019_FR_02_t1_ORG,1200,0,0,0,0
SM_1_03022019_FR,SM_1_03022019_FR_02_t1_ORG,1400,0,0,0,0
SM_1_03022019_FR,SM_1_03022019_FR_02_t1_ORG,1600,0,0,0,0
SM_1_03022019_FR,SM_1_03022019_FR_02_t1_ORG,1800,0,0,0,0
SM_1_03022019_FR,SM_1_03022019_FR_02_t1_ORG,2000,0,0,0,0
SM_1_03022019_FR,SM_1_03022019_FR_03_t1_ORG,200,0,0,0,0
SM_1_03022019_FR,SM_1_03022019_FR_03_t1_ORG,400,0,0,0,0
SM_1_03022019_FR,SM_1_03022019_FR_03_t1_ORG,600,694,372,322,278
SM_1_03022019_FR,SM_1_03022019_FR_03_t1_ORG,800,878,131,747,1252
SM_1_03022019_FR,SM_1_03022019_FR_03_t1_ORG,1000,0,0,0,0
SM_1_03022019_FR,SM_1_03022019_FR_03_t1_ORG,1200,4,0,4,0
SM_1_03022019_FR,SM_1_03022019_FR_03_t1_ORG,1400,0,0,0,0
SM_1_03022019_FR,SM_1_03022019_FR_03_t1_ORG,1600,0,0,0,0
SM_1_03022019_FR,SM_1_03022019_FR_03_t1_ORG,1800,0,0,0,0
SM_1_03022019_FR,SM_1_03022019_FR_03_t1_ORG,2000,0,0,0,0
SM_1_03022019_FR,SM_1_03022019_FR_04_t1_ORG,200,0,0,0,0
SM_1_03022019_FR,SM_1_03022019_FR_04_t1_ORG,400,0,0,0,0
SM_1_03022019_FR,SM_1_03022019_FR_04_t1_ORG,600,1480,655,825,39
SM_1_03022019_FR,SM_1_03022019_FR_04_t1_ORG,800,2163,483,1680,395
SM_1_03022019_FR,SM_1_03022019_FR_04_t1_ORG,1000,0,0,0,0
SM_1_03022019_FR,SM_1_03022019_FR_04_t1_ORG,1200,0,0,0,4
SM_1_03022019_FR,SM_1_03022019_FR_04_t1_ORG,1400,0,0,0,0
SM_1_03022019_FR,SM_1_03022019_FR_04_t1_ORG,1600,0,0,0,0
SM_1_03022019_FR,SM_1_03022019_FR_04_t1_ORG,1800,0,0,0,0
SM_1_03022019_FR,SM_1_03022019_FR_04_t1_ORG,2000,0,0,0,0
SM_1_03022019_FR,SM_1_03022019_FR_05_t1_ORG,200,0,0,0,0
SM_1_03022019_FR,SM_1_03022019_FR_05_t1_ORG,400,0,0,0,0
SM_1_03022019_FR,SM_1_03022019_FR_05_t1_ORG,600,0,0,0,1480
SM_1_03022019_FR,SM_1_03022019_FR_05_t1_ORG,800,0,0,0,2163
SM_1_03022019_FR,SM_1_03022019_FR_05_t1_ORG,1000,0,0,0,0
SM_1_03022019_FR,SM_1_03022019_FR_05_t1_ORG,1200,0,0,0,0
SM_1_03022019_FR,SM_1_03022019_FR_05_t1_ORG,1400,0,0,0,0
SM_1_03022019_FR,SM_1_03022019_FR_05_t1_ORG,1600,0,0,0,0
SM_1_03022019_FR,SM_1_03022019_FR_05_t1_ORG,1800,0,0,0,0
SM_1_03022019_FR,SM_1_03022019_FR_05_t1_ORG,2000,0,0,0,0
SM_1_03022019_FR,SM_1_03022019_FR_06_t1_ORG,200,0,0,0,0
SM_1_03022019_FR,SM_1_03022019_FR_06_t1_ORG,400,0,0,0,0
SM_1_03022019_FR,SM_1_03022019_FR_06_t1_ORG,600,0,0,0,0
SM_1_03022019_FR,SM_1_03022019_FR_06_t1_ORG,800,0,0,0,0
SM_1_03022019_FR,SM_1_03022019_FR_06_t1_ORG,1000,8,0,8,0
SM_1_03022019_FR,SM_1_03022019_FR_06_t1_ORG,1200,12,0,12,0
SM_1_03022019_FR,SM_1_03022019_FR_06_t1_ORG,1400,0,0,0,0
SM_1_03022019_FR,SM_1_03022019_FR_06_t1_ORG,1600,0,0,0,0
SM_1_03022019_FR,SM_1_03022019_FR_06_t1_ORG,1800,12,0,12,0
SM_1_03022019_FR,SM_1_03022019_FR_06_t1_ORG,2000,0,0,0,0
SM_1_03022019_FR,SM_1_03022019_FR_07_t1_ORG,200,0,0,0,0
SM_1_03022019_FR,SM_1_03022019_FR_07_t1_ORG,400,0,0,0,0
SM_1_03022019_FR,SM_1_03022019_FR_07_t1_ORG,600,0,0,0,0
SM_1_03022019_FR,SM_1_03022019_FR_07_t1_ORG,800,0,0,0,0
SM_1_03022019_FR,SM_1_03022019_FR_07_t1_ORG,1000,10,0,10,8
SM_1_03022019_FR,SM_1_03022019_FR_07_t1_ORG,1200,18,0,18,12
SM_1_03022019_FR,SM_1_03022019_FR_07_t1_ORG,1400,0,0,0,0
SM_1_03022019_FR,SM_1_03022019_FR_07_t1_ORG,1600,0,0,0,0
SM_1_03022019_FR,SM_1_03022019_FR_07_t1_ORG,1800,0,0,0,12
SM_1_03022019_FR,SM_1_03022019_FR_07_t1_ORG,2000,0,0,0,0
SM_1_03022019_FR,SM_1_03022019_FR_08_t1_ORG,200,313,0,313,0
SM_1_03022019_FR,SM_1_03022019_FR_08_t1_ORG,400,0,0,0,0
SM_1_03022019_FR,SM_1_03022019_FR_08_t1_ORG,600,0,0,0,0
SM_1_03022019_FR,SM_1_03022019_FR_08_t1_ORG,800,48,0,48,0
SM_1_03022019_FR,SM_1_03022019_FR_08_t1_ORG,1000,0,0,0,10
SM_1_03022019_FR,SM_1_03022019_FR_08_t1_ORG,1200,2,0,2,18
SM_1_03022019_FR,SM_1_03022019_FR_08_t1_ORG,1400,5,0,5,0
SM_1_03022019_FR,SM_1_03022019_FR_08_t1_ORG,1600,54,0,54,0
SM_1_03022019_FR,SM_1_03022019_FR_08_t1_ORG,1800,1957,0,1957,0
SM_1_03022019_FR,SM_1_03022019_FR_08_t1_ORG,2000,895,0,895,0
SM_1_03022019_FR,SM_1_03022019_FR_09_t1_ORG,200,1515,313,1202,0
SM_1_03022019_FR,SM_1_03022019_FR_09_t1_ORG,400,0,0,0,0
SM_1_03022019_FR,SM_1_03022019_FR_09_t1_ORG,600,1644,0,1644,0
SM_1_03022019_FR,SM_1_03022019_FR_09_t1_ORG,800,2829,22,2807,26
SM_1_03022019_FR,SM_1_03022019_FR_09_t1_ORG,1000,0,0,0,0
SM_1_03022019_FR,SM_1_03022019_FR_09_t1_ORG,1200,154,0,154,2
SM_1_03022019_FR,SM_1_03022019_FR_09_t1_ORG,1400,1361,0,1361,5
SM_1_03022019_FR,SM_1_03022019_FR_09_t1_ORG,1600,4131,54,4077,0
SM_1_03022019_FR,SM_1_03022019_FR_09_t1_ORG,1800,4361,1522,2839,435
SM_1_03022019_FR,SM_1_03022019_FR_09_t1_ORG,2000,5235,879,4356,16
SM_1_03022019_FR,SM_1_03022019_FR_10_t1_ORG,200,2285,1475,810,40
SM_1_03022019_FR,SM_1_03022019_FR_10_t1_ORG,400,1016,0,1016,0
SM_1_03022019_FR,SM_1_03022019_FR_10_t1_ORG,600,2450,1091,1359,553
SM_1_03022019_FR,SM_1_03022019_FR_10_t1_ORG,800,8890,2391,6499,438
SM_1_03022019_FR,SM_1_03022019_FR_10_t1_ORG,1000,2117,0,2117,0
SM_1_03022019_FR,SM_1_03022019_FR_10_t1_ORG,1200,3736,120,3616,34
SM_1_03022019_FR,SM_1_03022019_FR_10_t1_ORG,1400,5518,0,5518,1361
SM_1_03022019_FR,SM_1_03022019_FR_10_t1_ORG,1600,6555,2648,3907,1483
SM_1_03022019_FR,SM_1_03022019_FR_10_t1_ORG,1800,5103,2637,2466,1724
SM_1_03022019_FR,SM_1_03022019_FR_10_t1_ORG,2000,8427,4248,4179,987
SM_1_03022019_FR,SM_1_03022019_FR_11_t1_ORG,200,9828,2277,7551,8
SM_1_03022019_FR,SM_1_03022019_FR_11_t1_ORG,400,1585,546,1039,470
SM_1_03022019_FR,SM_1_03022019_FR_11_t1_ORG,600,6439,1212,5227,1238
SM_1_03022019_FR,SM_1_03022019_FR_11_t1_ORG,800,10287,4502,5785,4388
SM_1_03022019_FR,SM_1_03022019_FR_11_t1_ORG,1000,5384,1056,4328,1061
SM_1_03022019_FR,SM_1_03022019_FR_11_t1_ORG,1200,5095,863,4232,2873
SM_1_03022019_FR,SM_1_03022019_FR_11_t1_ORG,1400,4559,2391,2168,3127
SM_1_03022019_FR,SM_1_03022019_FR_11_t1_ORG,1600,11961,4475,7486,2080
SM_1_03022019_FR,SM_1_03022019_FR_11_t1_ORG,1800,7650,3806,3844,1297
SM_1_03022019_FR,SM_1_03022019_FR_11_t1_ORG,2000,14212,7877,6335,550
SM_1_03022019_FR,SM_1_03022019_FR_12_t1_ORG,200,12602,9099,3503,729
SM_1_03022019_FR,SM_1_03022019_FR_12_t1_ORG,400,2858,1339,1519,246
SM_1_03022019_FR,SM_1_03022019_FR_12_t1_ORG,600,9150,5572,3578,867
SM_1_03022019_FR,SM_1_03022019_FR_12_t1_ORG,800,16440,9410,7030,877
SM_1_03022019_FR,SM_1_03022019_FR_12_t1_ORG,1000,6504,4705,1799,679
SM_1_03022019_FR,SM_1_03022019_FR_12_t1_ORG,1200,7871,4196,3675,899
SM_1_03022019_FR,SM_1_03022019_FR_12_t1_ORG,1400,5298,3488,1810,1071
SM_1_03022019_FR,SM_1_03022019_FR_12_t1_ORG,1600,18513,10592,7921,1369
SM_1_03022019_FR,SM_1_03022019_FR_12_t1_ORG,1800,10127,6697,3430,953
SM_1_03022019_FR,SM_1_03022019_FR_12_t1_ORG,2000,19411,13564,5847,648
SM_1_03022019_FR,SM_1_03022019_FR_13_t1_ORG,200,19803,11776,8027,826
SM_1_03022019_FR,SM_1_03022019_FR_13_t1_ORG,400,8191,1350,6841,1508
SM_1_03022019_FR,SM_1_03022019_FR_13_t1_ORG,600,18151,8686,9465,464
SM_1_03022019_FR,SM_1_03022019_FR_13_t1_ORG,800,32742,15420,17322,1020
SM_1_03022019_FR,SM_1_03022019_FR_13_t1_ORG,1000,16226,5797,10429,707
SM_1_03022019_FR,SM_1_03022019_FR_13_t1_ORG,1200,17882,6694,11188,1177
SM_1_03022019_FR,SM_1_03022019_FR_13_t1_ORG,1400,15062,4391,10671,907
SM_1_03022019_FR,SM_1_03022019_FR_13_t1_ORG,1600,36918,17315,19603,1198
SM_1_03022019_FR,SM_1_03022019_FR_13_t1_ORG,1800,22165,8917,13248,1210
SM_1_03022019_FR,SM_1_03022019_FR_13_t1_ORG,2000,29162,17495,11667,1916
SM_1_03022019_FR,SM_1_03022019_FR_14_t1_ORG,200,25819,16699,9120,3104
SM_1_03022019_FR,SM_1_03022019_FR_14_t1_ORG,400,19902,5684,14218,2507
SM_1_03022019_FR,SM_1_03022019_FR_14_t1_ORG,600,31559,15129,16430,3022
SM_1_03022019_FR,SM_1_03022019_FR_14_t1_ORG,800,38268,27623,10645,5119
SM_1_03022019_FR,SM_1_03022019_FR_14_t1_ORG,1000,26596,14415,12181,1811
SM_1_03022019_FR,SM_1_03022019_FR_14_t1_ORG,1200,30956,14448,16508,3434
SM_1_03022019_FR,SM_1_03022019_FR_14_t1_ORG,1400,30365,13062,17303,2000
SM_1_03022019_FR,SM_1_03022019_FR_14_t1_ORG,1600,43879,30848,13031,6070
SM_1_03022019_FR,SM_1_03022019_FR_14_t1_ORG,1800,25049,15925,9124,6240
SM_1_03022019_FR,SM_1_03022019_FR_14_t1_ORG,2000,37417,25624,11793,3538
SM_1_03022019_FR,SM_1_03022019_FR_15_t1_ORG,200,29645,16417,13228,9402
SM_1_03022019_FR,SM_1_03022019_FR_15_t1_ORG,400,31068,10066,21002,9836
