Experiment,datafile,Layer,SumSliceY,SumSliceYsame,SumSliceYgain,SumSliceYlost
SM_1_03022019_FR,SM_1_03022019_FR_02_t1_ORG,200,0,0,0,0
SM_1_03022019_FR,SM_1_03022019_FR_02_t1_ORG,400,0,0,0,0
SM_1_03022019_FR,SM_1_03022019_FR_02_t1_ORG,600,0,0,0,0
SM_1_03022019_FR,SM_1_03022019_FR_02_t1_ORG,800,0,0,0,0
SM_1_03022019_FR,SM_1_03022019_FR_02_t1_ORG,1000,0,0,0,0
SM_1_03022019_FR,SM_1_03022019_FR_02_t1_ORG,1200,0,0,0,0
SM_1_03022019_FR,SM_1_03022019_FR_02_t1_ORG,1400,2033,0,2033,0
SM_1_03022019_FR,SM_1_03022019_FR_02_t1_ORG,1600,0,0,0,0
SM_1_03022019_FR,SM_1_03022019_FR_02_t1_ORG,1800,0,0,0,0
SM_1_03022019_FR,SM_1_03022019_FR_03_t1_ORG,200,4,0,4,0
SM_1_03022019_FR,SM_1_03022019_FR_03_t1_ORG,400,0,0,0,0
SM_1_03022019_FR,SM_1_03022019_FR_03_t1_ORG,600,0,0,0,0
SM_1_03022019_FR,SM_1_03022019_FR_03_t1_ORG,800,0,0,0,0
SM_1_03022019_FR,SM_1_03022019_FR_03_t1_ORG,1000,0,0,0,0
SM_1_03022019_FR,SM_1_03022019_FR_03_t1_ORG,1200,0,0,0,0
SM_1_03022019_FR,SM_1_03022019_FR_03_t1_ORG,1400,1572,503,1069,1530
SM_1_03022019_FR,SM_1_03022019_FR_03_t1_ORG,1600,0,0,0,0
SM_1_03022019_FR,SM_1_03022019_FR_03_t1_ORG,1800,0,0,0,0
SM_1_03022019_FR,SM_1_03022019_FR_04_t1_ORG,200,0,0,0,4
SM_1_03022019_FR,SM_1_03022019_FR_04_t1_ORG,400,0,0,0,0
SM_1_03022019_FR,SM_1_03022019_FR_04_t1_ORG,600,0,0,0,0
SM_1_03022019_FR,SM_1_03022019_FR_04_t1_ORG,800,0,0,0,0
SM_1_03022019_FR,SM_1_03022019_FR_04_t1_ORG,1000,0,0,0,0
SM_1_03022019_FR,SM_1_03022019_FR_04_t1_ORG,1200,0,0,0,0
SM_1_03022019_FR,SM_1_03022019_FR_04_t1_ORG,1400,3643,1138,2505,434
SM_1_03022019_FR,SM_1_03022019_FR_04_t1_ORG,1600,0,0,0,0
SM_1_03022019_FR,SM_1_03022019_FR_04_t1_ORG,1800,0,0,0,0
SM_1_03022019_FR,SM_1_03022019_FR_05_t1_ORG,200,0,0,0,0
SM_1_03022019_FR,SM_1_03022019_FR_05_t1_ORG,400,0,0,0,0
SM_1_03022019_FR,SM_1_03022019_FR_05_t1_ORG,600,0,0,0,0
SM_1_03022019_FR,SM_1_03022019_FR_05_t1_ORG,800,0,0,0,0
SM_1_03022019_FR,SM_1_03022019_FR_05_t1_ORG,1000,0,0,0,0
SM_1_03022019_FR,SM_1_03022019_FR_05_t1_ORG,1200,0,0,0,0
SM_1_03022019_FR,SM_1_03022019_FR_05_t1_ORG,1400,0,0,0,3643
SM_1_03022019_FR,SM_1_03022019_FR_05_t1_ORG,1600,0,0,0,0
SM_1_03022019_FR,SM_1_03022019_FR_05_t1_ORG,1800,0,0,0,0
SM_1_03022019_FR,SM_1_03022019_FR_06_t1_ORG,200,32,0,32,0
SM_1_03022019_FR,SM_1_03022019_FR_06_t1_ORG,400,0,0,0,0
SM_1_03022019_FR,SM_1_03022019_FR_06_t1_ORG,600,0,0,0,0
SM_1_03022019_FR,SM_1_03022019_FR_06_t1_ORG,800,0,0,0,0
SM_1_03022019_FR,SM_1_03022019_FR_06_t1_ORG,1000,0,0,0,0
SM_1_03022019_FR,SM_1_03022019_FR_06_t1_ORG,1200,0,0,0,0
SM_1_03022019_FR,SM_1_03022019_FR_06_t1_ORG,1400,0,0,0,0
SM_1_03022019_FR,SM_1_03022019_FR_06_t1_ORG,1600,0,0,0,0
SM_1_03022019_FR,SM_1_03022019_FR_06_t1_ORG,1800,0,0,0,0
SM_1_03022019_FR,SM_1_03022019_FR_07_t1_ORG,200,28,0,28,32
SM_1_03022019_FR,SM_1_03022019_FR_07_t1_ORG,400,0,0,0,0
SM_1_03022019_FR,SM_1_03022019_FR_07_t1_ORG,600,0,0,0,0
SM_1_03022019_FR,SM_1_03022019_FR_07_t1_ORG,800,0,0,0,0
SM_1_03022019_FR,SM_1_03022019_FR_07_t1_ORG,1000,52,0,52,0
SM_1_03022019_FR,SM_1_03022019_FR_07_t1_ORG,1200,0,0,0,0
SM_1_03022019_FR,SM_1_03022019_FR_07_t1_ORG,1400,0,0,0,0
SM_1_03022019_FR,SM_1_03022019_FR_07_t1_ORG,1600,0,0,0,0
SM_1_03022019_FR,SM_1_03022019_FR_07_t1_ORG,1800,0,0,0,0
SM_1_03022019_FR,SM_1_03022019_FR_08_t1_ORG,200,921,0,921,28
SM_1_03022019_FR,SM_1_03022019_FR_08_t1_ORG,400,1992,0,1992,0
SM_1_03022019_FR,SM_1_03022019_FR_08_t1_ORG,600,0,0,0,0
SM_1_03022019_FR,SM_1_03022019_FR_08_t1_ORG,800,361,0,361,0
SM_1_03022019_FR,SM_1_03022019_FR_08_t1_ORG,1000,565,52,513,0
SM_1_03022019_FR,SM_1_03022019_FR_08_t1_ORG,1200,0,0,0,0
SM_1_03022019_FR,SM_1_03022019_FR_08_t1_ORG,1400,0,0,0,0
SM_1_03022019_FR,SM_1_03022019_FR_08_t1_ORG,1600,0,0,0,0
SM_1_03022019_FR,SM_1_03022019_FR_08_t1_ORG,1800,0,0,0,0
SM_1_03022019_FR,SM_1_03022019_FR_09_t1_ORG,200,3530,860,2670,61
SM_1_03022019_FR,SM_1_03022019_FR_09_t1_ORG,400,7429,1595,5834,397
SM_1_03022019_FR,SM_1_03022019_FR_09_t1_ORG,600,1801,0,1801,0
SM_1_03022019_FR,SM_1_03022019_FR_09_t1_ORG,800,3926,335,3591,26
SM_1_03022019_FR,SM_1_03022019_FR_09_t1_ORG,1000,2015,554,1461,11
SM_1_03022019_FR,SM_1_03022019_FR_09_t1_ORG,1200,1685,0,1685,0
SM_1_03022019_FR,SM_1_03022019_FR_09_t1_ORG,1400,105,0,105,0
SM_1_03022019_FR,SM_1_03022019_FR_09_t1_ORG,1600,2975,0,2975,0
SM_1_03022019_FR,SM_1_03022019_FR_09_t1_ORG,1800,0,0,0,0
SM_1_03022019_FR,SM_1_03022019_FR_10_t1_ORG,200,10620,2100,8520,1430
SM_1_03022019_FR,SM_1_03022019_FR_10_t1_ORG,400,7225,4105,3120,3324
SM_1_03022019_FR,SM_1_03022019_FR_10_t1_ORG,600,4806,1439,3367,362
SM_1_03022019_FR,SM_1_03022019_FR_10_t1_ORG,800,6796,3610,3186,316
SM_1_03022019_FR,SM_1_03022019_FR_10_t1_ORG,1000,2551,1090,1461,925
SM_1_03022019_FR,SM_1_03022019_FR_10_t1_ORG,1200,1882,1404,478,281
SM_1_03022019_FR,SM_1_03022019_FR_10_t1_ORG,1400,7158,5,7153,100
SM_1_03022019_FR,SM_1_03022019_FR_10_t1_ORG,1600,7533,2587,4946,388
SM_1_03022019_FR,SM_1_03022019_FR_10_t1_ORG,1800,160,0,160,0
SM_1_03022019_FR,SM_1_03022019_FR_11_t1_ORG,200,31457,8933,22524,1687
SM_1_03022019_FR,SM_1_03022019_FR_11_t1_ORG,400,11702,4724,6978,2501
SM_1_03022019_FR,SM_1_03022019_FR_11_t1_ORG,600,3617,1929,1688,2877
SM_1_03022019_FR,SM_1_03022019_FR_11_t1_ORG,800,10203,5802,4401,994
SM_1_03022019_FR,SM_1_03022019_FR_11_t1_ORG,1000,3373,828,2545,1723
SM_1_03022019_FR,SM_1_03022019_FR_11_t1_ORG,1200,8246,1727,6519,155
SM_1_03022019_FR,SM_1_03022019_FR_11_t1_ORG,1400,5386,3019,2367,4139
SM_1_03022019_FR,SM_1_03022019_FR_11_t1_ORG,1600,7323,4514,2809,3019
SM_1_03022019_FR,SM_1_03022019_FR_11_t1_ORG,1800,758,28,730,132
SM_1_03022019_FR,SM_1_03022019_FR_12_t1_ORG,200,39834,25980,13854,5477
SM_1_03022019_FR,SM_1_03022019_FR_12_t1_ORG,400,17503,11127,6376,575
SM_1_03022019_FR,SM_1_03022019_FR_12_t1_ORG,600,7533,3572,3961,45
SM_1_03022019_FR,SM_1_03022019_FR_12_t1_ORG,800,14148,9844,4304,359
SM_1_03022019_FR,SM_1_03022019_FR_12_t1_ORG,1000,4533,2960,1573,413
SM_1_03022019_FR,SM_1_03022019_FR_12_t1_ORG,1200,9416,7837,1579,409
SM_1_03022019_FR,SM_1_03022019_FR_12_t1_ORG,1400,11149,5283,5866,103
SM_1_03022019_FR,SM_1_03022019_FR_12_t1_ORG,1600,11030,6541,4489,782
SM_1_03022019_FR,SM_1_03022019_FR_12_t1_ORG,1800,878,495,383,263
SM_1_03022019_FR,SM_1_03022019_FR_13_t1_ORG,200,79041,33264,45777,6570
SM_1_03022019_FR,SM_1_03022019_FR_13_t1_ORG,400,28887,16326,12561,1177
SM_1_03022019_FR,SM_1_03022019_FR_13_t1_ORG,600,14383,6672,7711,861
SM_1_03022019_FR,SM_1_03022019_FR_13_t1_ORG,800,25328,13374,11954,774
SM_1_03022019_FR,SM_1_03022019_FR_13_t1_ORG,1000,11779,4105,7674,428
SM_1_03022019_FR,SM_1_03022019_FR_13_t1_ORG,1200,16579,8976,7603,440
SM_1_03022019_FR,SM_1_03022019_FR_13_t1_ORG,1400,23616,10723,12893,426
SM_1_03022019_FR,SM_1_03022019_FR_13_t1_ORG,1600,19006,10347,8659,683
SM_1_03022019_FR,SM_1_03022019_FR_13_t1_ORG,1800,5876,784,5092,94
SM_1_03022019_FR,SM_1_03022019_FR_14_t1_ORG,200,113834,64009,49825,15032
SM_1_03022019_FR,SM_1_03022019_FR_14_t1_ORG,400,35230,22834,12396,6053
SM_1_03022019_FR,SM_1_03022019_FR_14_t1_ORG,600,26443,11184,15259,3199
SM_1_03022019_FR,SM_1_03022019_FR_14_t1_ORG,800,37915,21790,16125,3538
SM_1_03022019_FR,SM_1_03022019_FR_14_t1_ORG,1000,23711,8872,14839,2907
SM_1_03022019_FR,SM_1_03022019_FR_14_t1_ORG,1200,24978,14959,10019,1620
SM_1_03022019_FR,SM_1_03022019_FR_14_t1_ORG,1400,26726,20992,5734,2624
SM_1_03022019_FR,SM_1_03022019_FR_14_t1_ORG,1600,21607,17675,3932,1331
SM_1_03022019_FR,SM_1_03022019_FR_14_t1_ORG,1800,9634,5079,4555,797
SM_1_03022019_FR,SM_1_03022019_FR_15_t1_ORG,200,105062,78692,26370,35142
SM_1_03022019_FR,SM_1_03022019_FR_15_t1_ORG,400,45063,20065,24998,15165
SM_1_03022019_FR,SM_1_03022019_FR_15_t1_ORG,600,44770,15972,28798,10471
SM_1_03022019_FR,SM_1_03022019_FR_15_t1_ORG,800,54114,21949,32165,15966
SM_1_03022019_FR,SM_1_03022019_FR_15_t1_ORG,1000,42199,12788,29411,10923
SM_1_03022019_FR,SM_1_03022019_FR_15_t1_ORG,1200,32936,15597,17339,9381
SM_1_03022019_FR,SM_1_03022019_FR_15_t1_ORG,1400,33243,17740,15503,8986
SM_1_03022019_FR,SM_1_03022019_FR_15_t1_ORG,1600,20043,13654,6389,7953
SM_1_03022019_FR,SM_1_03022019_FR_15_t1_ORG,1800,15758,5277,10481,4357
SM_1_03022019_FR,SM_1_03022019_FR_16_t1_ORG,200,108459,60876,47583,44186
SM_1_03022019_FR,SM_1_03022019_FR_16_t1_ORG,400,46477,10390,36087,34673
SM_1_03022019_FR,SM_1_03022019_FR_16_t1_ORG,600,50455,8896,41559,35874
SM_1_03022019_FR,SM_1_03022019_FR_16_t1_ORG,800,48144,11194,36950,42920
SM_1_03022019_FR,SM_1_03022019_FR_16_t1_ORG,1000,43986,9185,34801,33014
